checkin_date,count
2023-08-23,1
2023-08-24,3
2023-08-26,10
2023-08-27,7
2023-09-02,10
2023-09-03,5
2023-09-06,7
2023-09-07,4
2023-09-09,3
2023-09-10,24
2023-09-13,3
2023-09-16,5
2023-09-17,33
2023-09-21,4
2023-09-22,2
2023-09-23,20
2023-09-24,13
2023-09-27,6
2023-09-30,6
2023-10-01,13
2023-10-05,5
2023-10-06,2
2023-10-07,6
2023-10-08,17
2023-10-11,8
2023-10-14,13
2023-10-15,25
2023-10-18,11
2023-10-19,8
2023-10-20,7
2023-10-21,4
2023-10-22,16
2023-10-25,14
2023-10-27,2
2023-10-28,13
2023-10-29,45
2023-11-01,10
2023-11-04,11
2023-11-05,14
2023-11-08,9
2023-11-10,1
2023-11-11,39
2023-11-12,16
2023-11-15,15
2023-11-16,8
2023-11-17,2
2023-11-18,32
2023-11-19,37
2023-11-22,6
2023-11-24,1
2023-11-25,28
2023-11-26,27
2023-11-29,14
2023-12-01,3
2023-12-02,22
2023-12-03,19
2023-12-06,8
2023-12-09,29
2023-12-10,28
2023-12-13,10
2023-12-16,18
2023-12-17,18
2023-12-20,7
2023-12-27,1
2024-01-06,44
2024-01-07,21
2024-01-10,9
2024-01-13,47
2024-01-14,19
2024-01-17,16
2024-01-18,5
2024-01-20,65
2024-01-21,38
2024-01-24,20
2024-01-25,4
2024-01-26,3
2024-01-27,52
2024-01-28,28
2024-01-31,18
2024-02-03,41
2024-02-04,22
2024-02-07,9
2024-02-08,2
2024-02-10,31
2024-02-11,45
2024-02-14,10
2024-02-16,4
2024-02-17,26
2024-02-18,37
2024-02-21,14
2024-02-22,4
2024-02-24,37
2024-02-25,32
