model,split,group,metric,value,diagnosis
XGBoost Hybrid,test,overall,precision@5,0.0234,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,recall@5,0.1048,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,ndcg@5,0.0606,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,mrr,0.0503,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,coverage_pct,57.52,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,coverage_count,130.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,novelty,2.7056,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,overall,users_evaluated,145.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,precision@5,0.025,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,recall@5,0.1089,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,ndcg@5,0.0673,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,mrr,0.0589,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,coverage_pct,53.1,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,coverage_count,120.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,novelty,2.5517,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,registered,users_evaluated,112.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,precision@5,0.0182,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,recall@5,0.0909,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,ndcg@5,0.0378,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,mrr,0.0212,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,coverage_pct,34.96,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,coverage_count,79.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,novelty,3.2278,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,test,guest,users_evaluated,33.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,precision@5,0.0467,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,recall@5,0.0487,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,ndcg@5,0.0545,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,mrr,0.1061,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,coverage_pct,11.95,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,coverage_count,27.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,novelty,0.5995,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,overall,users_evaluated,90.0,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,precision@5,0.0494,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,recall@5,0.0524,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
XGBoost Hybrid,train,registered,ndcg@5,0.0542,ACCEPTABLE GENERALISATION | Train P@5=0.0467 vs Test P@5=0.0234 (gap=+0.0233). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
