"discountid","discounttype","discounttypevalue","discountamounttype","discountamountvalue","discountcode","discountdateexpire","discountmaxuse"
"1","over amount paid","16.00","reduce by percentage","100.00","0ESY7U","2023-09-22 00:00:00","10"
"2","over amount paid","16.00","reduce by percentage","100.00","J6P8DY","2023-10-07 00:00:00","7"
"3","over amount paid","16.00","reduce by percentage","100.00","HTZEW4","2023-11-10 00:00:00","4"
"4","over amount paid","16.00","reduce by percentage","100.00","M1VHEI","2023-10-27 00:00:00","2"
"5","over amount paid","16.00","reduce by percentage","100.00","Y0QDZB","2023-10-14 00:00:00","2"
"6","over amount paid","16.00","reduce by percentage","100.00","1HAZ4G","2023-11-17 00:00:00","4"
"7","over amount paid","16.00","reduce by percentage","100.00","ZDT61F","2023-11-13 00:00:00","1"
"8","over amount paid","12.00","reduce by percentage","100.00","WOA5CQ","2023-10-31 00:00:00","1"
"9","over amount paid","16.00","reduce by percentage","100.00","Y02WSF","2023-11-17 00:00:00","3"
"10","over class enrolled","1.00","reduce by percentage","10.00","MANDG10","2023-12-31 00:00:00","1000"
"11","over amount paid","10.00","reduce by percentage","20.00","71P59A","2023-11-08 00:00:00","1"
"12","over class enrolled","1.00","reduce by percentage","20.00","7K6HW8","2024-02-13 00:00:00","1"
"13","over amount paid","1.00","reduce by percentage","20.00","BLACKFRIDAY23","2023-11-24 00:00:00","1000"
"14","over amount paid","1.00","reduce by percentage","10.00","CYBERMONDAY23","2023-11-28 00:00:00","1000"
"15","over amount paid","1.00","reduce by percentage","15.00","THANKYOUJANICE","2024-02-28 00:00:00","1"
"16","over amount paid","1.00","reduce by percentage","15.00","THANKYOUKRYSTAL","2024-02-28 00:00:00","1"
"17","over amount paid","1.00","reduce by percentage","15.00","PRBDN2","2024-03-04 00:00:00","1"
"18","over amount paid","1.00","reduce by percentage","15.00","PRBDN1","2024-03-04 00:00:00","1"
"19","over amount paid","1.00","reduce by percentage","15.00","PRBDN3","2024-03-04 00:00:00","1"
"20","over amount paid","1.00","reduce by percentage","15.00","PRBDN4","2024-03-04 00:00:00","1"
"21","over class enrolled","1.00","reduce by percentage","15.00","RESQIP","2024-03-06 00:00:00","1"
"22","over class enrolled","1.00","reduce by percentage","15.00","WYV26O","2024-03-07 00:00:00","1"
"23","over class enrolled","1.00","reduce by percentage","15.00","8ZH6CR","2024-03-08 00:00:00","1"
"24","over class enrolled","1.00","reduce by percentage","15.00","1GJDXT","2024-03-11 00:00:00","1"
"25","over class enrolled","1.00","reduce by percentage","15.00","LHMZ0E","2024-03-15 00:00:00","1"
"26","over class enrolled","1.00","reduce by percentage","15.00","Z7584H","2024-03-18 00:00:00","1"
"27","over class enrolled","1.00","reduce by percentage","15.00","4V9BPR","2024-03-20 00:00:00","1"
"28","over amount paid","1.00","reduce by percentage","10.00","THANKYOU2023","2024-01-06 00:00:00","9999"
"29","over amount paid","1.00","reduce by percentage","20.00","FORMEMBER2023","2024-01-06 00:00:00","9999"
"30","over amount paid","1.00","reduce by percentage","20.00","BOXINGDAY23","2023-12-27 00:00:00","1000"
"31","over amount paid","1.00","reduce by percentage","20.00","GETFIT2024","2024-01-01 00:00:00","1000"
"32","over class enrolled","1.00","reduce by percentage","15.00","FL3I61","2024-04-07 00:00:00","1"
"33","over class enrolled","1.00","reduce by amount","10.00","W82RHZ","2024-04-08 00:00:00","1"
"34","over class enrolled","1.00","reduce by percentage","100.00","8WQZT6","2024-04-08 00:00:00","1"
"35","over class enrolled","1.00","reduce by percentage","15.00","AU749Q","2024-04-12 00:00:00","1"
"36","over class enrolled","1.00","reduce by percentage","15.00","CK2RU3","2024-04-13 00:00:00","1"
"37","over class enrolled","1.00","reduce by percentage","15.00","S7A2B9","2024-04-13 00:00:00","1"
"38","over class enrolled","1.00","reduce by percentage","15.00","U0C4ZK","2024-04-24 00:00:00","1"
"39","over class enrolled","1.00","reduce by percentage","15.00","DW3EI1","2024-04-26 00:00:00","1"
"40","over class enrolled","1.00","reduce by percentage","15.00","DG4WZ9","2024-04-28 00:00:00","1"
"41","over class enrolled","1.00","reduce by percentage","15.00","H4ABTM","2024-04-28 00:00:00","1"
"42","over amount paid","1.00","reduce by percentage","20.00","LOVEWINSALL24","2024-01-01 00:00:00","1000"
"43","over class enrolled","1.00","reduce by percentage","15.00","SB8QIF","2024-04-30 00:00:00","1"
"44","over class enrolled","1.00","reduce by percentage","15.00","INGCFX","2024-05-01 00:00:00","1"
"45","over class enrolled","1.00","reduce by percentage","15.00","YKCLPZ","2024-05-01 00:00:00","1"
"46","over class enrolled","1.00","reduce by percentage","100.00","IDHCRS","2024-05-05 00:00:00","1"
"47","over class enrolled","1.00","reduce by percentage","100.00","OPKTSU","2024-05-05 00:00:00","1"
"48","over class enrolled","1.00","reduce by percentage","100.00","8E74T2","2024-05-09 00:00:00","1"
"49","over class enrolled","1.00","reduce by percentage","15.00","PKVUFD","2024-05-15 00:00:00","1"
"50","over class enrolled","1.00","reduce by percentage","15.00","C1KWRZ","2024-05-15 00:00:00","1"
