"userid","usergender","userdob","ads","referralcode","usertype","userjoindate"
"3","w","1996-04-18","friends",NULL,"Student","2023-08-24 11:37:14"
"4","w","2004-07-03","instagram",NULL,"Student","2023-08-24 15:43:43"
"5","w","1999-11-03","searchengine",NULL,"Student","2023-08-24 20:41:03"
"6","w","2005-12-02","friends",NULL,"Student","2023-08-25 10:06:20"
"7","w","2002-06-18","instagram",NULL,"Student","2023-08-25 11:07:51"
"8","w","1995-08-29","searchengine",NULL,"Student","2023-08-26 03:41:59"
"9","w","1999-01-12","searchengine",NULL,"Student","2023-08-26 11:03:44"
"10","w","2000-11-17","instagram",NULL,"Student","2023-08-26 18:30:23"
"11","w","1999-10-05","instagram",NULL,"Student","2023-08-26 20:47:48"
"12","w","0000-00-00","searchengine",NULL,"Student","2023-08-28 15:16:03"
"13","w","1997-11-10","searchengine",NULL,"Student","2023-08-30 18:33:41"
"14","w","1998-06-09","friends",NULL,"Student","2023-09-01 11:22:14"
"15","w","2008-10-28","instagram",NULL,"Student","2023-09-01 14:54:58"
"16","w","2002-02-02","instagram",NULL,"Student","2023-09-01 17:09:44"
"17","w","2002-10-15","searchengine",NULL,"Student","2023-09-01 23:26:03"
"18","m","1999-04-08","instagram",NULL,"Student","2023-09-02 15:29:58"
"19","w","1982-02-26","searchengine",NULL,"Student","2023-09-02 23:13:55"
"20","w","2000-02-07","friends",NULL,"Student","2023-09-05 22:51:20"
"21","w","2009-12-16","instagram",NULL,"Student","2023-09-07 16:14:54"
"22","w","2002-02-28","friends",NULL,"Student","2023-09-09 17:49:08"
"23","w","2000-01-15","searchengine",NULL,"Student","2023-09-10 13:25:43"
"24","w","2001-08-26","searchengine",NULL,"Student","2023-09-10 21:36:55"
"25","m","2002-10-05","searchengine",NULL,"Student","2023-09-13 10:04:19"
"26","w","1990-11-10","friends",NULL,"Student","2023-09-15 16:13:32"
"27","w","2003-01-20","instagram",NULL,"Student","2023-09-16 16:39:27"
"28","w","2001-09-29","instagram",NULL,"Student","2023-09-17 02:26:25"
"29","w","2003-07-02","instagram",NULL,"Student","2023-09-18 17:53:47"
"30","w","2002-11-24","instagram",NULL,"Student","2023-09-18 20:59:34"
"31","w","2001-08-09","instagram",NULL,"Student","2023-09-22 15:31:31"
"32","w","1974-12-14","searchengine",NULL,"Student","2023-09-22 17:49:46"
"33","w","2004-05-04","instagram",NULL,"Student","2023-09-23 18:38:50"
"34","w","0000-00-00","searchengine",NULL,"Student","2023-09-26 23:37:56"
"35","w","2001-02-06","friends",NULL,"Student","2023-09-27 16:04:59"
"36","w","2002-01-14","friends",NULL,"Student","2023-09-27 16:10:09"
"37","w","1999-08-11","instagram",NULL,"Student","2023-09-28 02:40:21"
"38","w","2002-01-02","friends",NULL,"Student","2023-09-28 23:25:05"
"39","w","1999-09-23","instagram",NULL,"Student","2023-09-29 21:40:11"
"40","w","2003-12-10","searchengine",NULL,"Student","2023-09-30 16:17:53"
"41","w","2002-02-06","instagram",NULL,"Student","2023-10-01 17:51:58"
"42","w","2001-04-05","searchengine",NULL,"Student","2023-10-03 01:38:51"
"43","w","1991-03-30","friends",NULL,"Student","2023-10-04 21:23:20"
"44","w","2001-03-25","friends",NULL,"Student","2023-10-04 22:11:41"
"45","w","2004-08-03","searchengine",NULL,"Student","2023-10-05 19:50:14"
"47","w","2002-01-30","searchengine",NULL,"Student","2023-10-05 22:53:31"
"48","m","0000-00-00","friends",NULL,"Student","2023-10-08 10:34:29"
"49","w","1990-07-05","searchengine",NULL,"Student","2023-10-08 14:07:12"
"50","w","2003-11-06","instagram",NULL,"Student","2023-10-08 16:24:42"
"51","w","2010-12-20","friends",NULL,"Student","2023-10-08 18:04:53"
"52","w","0000-00-00","others",NULL,"Student","2023-10-09 09:52:02"
"53","w","1999-01-12","searchengine",NULL,"Student","2023-10-09 21:11:19"
"54","m","1998-11-09","instagram",NULL,"Student","2023-10-10 12:04:07"
"55","w","2000-06-24","friends",NULL,"Student","2023-10-10 16:30:00"
"56","w","0000-00-00","instagram",NULL,"Student","2023-10-11 00:10:07"
"57","w","1974-10-27","friends",NULL,"Student","2023-10-11 19:20:50"
"58","w","2004-10-15","friends",NULL,"Student","2023-10-13 15:49:42"
"59","w","1997-09-21","searchengine",NULL,"Student","2023-10-13 20:40:00"
"60","w","1997-01-29","searchengine",NULL,"Student","2023-10-14 17:32:19"
"61","m","2005-07-30","searchengine",NULL,"Student","2023-10-15 18:47:41"
"62","w","2003-06-02","friends",NULL,"Student","2023-10-16 02:35:51"
"63","w","2002-01-09","instagram",NULL,"Student","2023-10-16 14:17:26"
"64","w","0000-00-00","others",NULL,"Student","2023-10-16 15:44:51"
"65","w","2004-06-04","friends",NULL,"Student","2023-10-16 16:54:26"
"66","w","1999-05-11","others",NULL,"Student","2023-10-17 14:57:11"
"67","w","1997-10-09","instagram",NULL,"Student","2023-10-18 14:16:24"
"68","w","1998-07-30","friends",NULL,"Student","2023-10-20 15:26:00"
"69","w","2004-05-26","instagram",NULL,"Student","2023-10-20 22:27:06"
"70","w","2006-03-22","others",NULL,"Student","2023-10-21 10:45:19"
"71","w","2006-05-29","instagram",NULL,"Student","2023-10-21 15:50:07"
"72","w","2003-11-14","searchengine",NULL,"Student","2023-10-23 10:08:02"
"73","w","1995-11-23","searchengine",NULL,"Student","2023-10-23 13:40:22"
"74","w","2000-05-31","friends",NULL,"Student","2023-10-24 10:55:10"
"75","w","2000-06-24","instagram",NULL,"Student","2023-10-24 13:52:02"
"76","w","2003-04-23","searchengine",NULL,"Student","2023-10-25 15:21:15"
"77","w","2003-05-26","searchengine",NULL,"Student","2023-10-26 16:55:02"
"78","w","2003-03-21","instagram",NULL,"Student","2023-10-26 22:06:07"
"79","w","2010-04-10","instagram",NULL,"Student","2023-10-26 22:29:14"
"80","w","1998-05-25","instagram",NULL,"Student","2023-10-27 10:45:38"
"81","w","2010-12-28","instagram",NULL,"Student","2023-10-27 15:30:42"
"82","w","2006-08-16","searchengine",NULL,"Student","2023-10-28 19:22:34"
"83","w","2009-06-11","youtube",NULL,"Student","2023-10-29 17:43:23"
"84","w","1999-11-20","instagram",NULL,"Student","2023-10-30 13:50:14"
"85","w","2008-06-23","instagram",NULL,"Student","2023-10-30 18:33:33"
"86",,NULL,,NULL,"Student","2023-10-30 22:18:24"
"87","w","0000-00-00","instagram",NULL,"Student","2023-10-31 20:22:27"
"88","w","2005-06-12","searchengine",NULL,"Student","2023-11-02 01:27:46"
"89","w","2005-05-23","searchengine",NULL,"Student","2023-11-02 20:29:12"
"90","w","2008-04-12","tiktok",NULL,"Student","2023-11-02 20:31:21"
"91","w","2002-02-27","searchengine",NULL,"Student","2023-11-02 22:05:54"
"92","w","1991-01-29","instagram",NULL,"Student","2023-11-02 22:22:19"
"93","m","1991-09-07","searchengine",NULL,"Student","2023-11-02 22:49:55"
"94","w","2005-04-26","instagram",NULL,"Student","2023-11-02 23:22:51"
"95","w","0000-00-00","instagram",NULL,"Student","2023-11-03 01:52:48"
"96","w","2011-06-05","friends",NULL,"Student","2023-11-03 07:27:07"
"97","w","2008-05-20","searchengine",NULL,"Student","2023-11-04 09:06:59"
"98","w","2000-05-22","others",NULL,"Student","2023-11-04 17:33:20"
"99","w","0000-00-00","friends",NULL,"Student","2023-11-04 22:27:13"
"100","m","1993-10-28","others",NULL,"Student","2023-11-05 00:53:41"
"101","m","2001-09-12","instagram",NULL,"Student","2023-11-05 08:10:40"
"102","w","2002-03-27","instagram",NULL,"Student","2023-11-05 10:28:52"
"103","w","2003-11-30","instagram",NULL,"Student","2023-11-05 14:33:55"
"104","w","1999-06-13","instagram",NULL,"Student","2023-11-06 00:46:51"
"105","w","1999-09-30","instagram",NULL,"Student","2023-11-06 19:51:46"
"106","w","2000-11-02","instagram",NULL,"Student","2023-11-08 19:45:01"
"107","w","1997-03-20","instagram",NULL,"Student","2023-11-08 21:00:16"
"108","w","0000-00-00","searchengine",NULL,"Student","2023-11-09 11:04:47"
"109","w","1996-05-01","instagram",NULL,"Student","2023-11-09 11:12:04"
"110","w","1998-01-16","friends",NULL,"Student","2023-11-09 22:09:07"
"111","m","1997-11-25","others",NULL,"Student","2023-11-09 23:29:39"
"112","w","2000-07-13","instagram",NULL,"Student","2023-11-09 23:30:24"
"113","w","1990-06-25","searchengine",NULL,"Student","2023-11-11 12:13:31"
"114","w","2007-06-13","friends",NULL,"Student","2023-11-11 14:36:04"
"115","m","1990-07-10","instagram",NULL,"Student","2023-11-11 17:51:56"
"116","w","1994-04-26","searchengine",NULL,"Student","2023-11-11 19:24:56"
"117","w","2001-05-19","others",NULL,"Student","2023-11-11 20:43:49"
"118","w","2007-03-24","instagram",NULL,"Student","2023-11-11 20:46:28"
"119","w","0000-00-00","instagram",NULL,"Student","2023-11-12 09:27:29"
"120","w","0000-00-00","instagram",NULL,"Student","2023-11-12 11:39:08"
"121","w","2000-05-03","friends",NULL,"Student","2023-11-12 14:32:55"
"122","w","2001-10-27","instagram",NULL,"Student","2023-11-12 15:21:24"
"123","w","1999-06-13","instagram",NULL,"Student","2023-11-12 15:36:10"
"124","w","1997-08-07","friends",NULL,"Student","2023-11-12 23:04:52"
"125","w","2003-05-21","searchengine",,"Student","2023-11-14 01:01:51"
"126","w","2001-04-05","searchengine",,"Student","2023-11-14 21:06:27"
"127","w","1995-08-01","instagram",,"Student","2023-11-15 10:59:07"
"128","w","2002-05-20","instagram",,"Student","2023-11-15 11:48:32"
"129","w","1990-08-28","searchengine",,"Student","2023-11-15 13:03:25"
"130","w","2001-11-12","instagram",,"Student","2023-11-15 17:59:42"
"131","w","2000-08-04","instagram",,"Student","2023-11-15 19:43:55"
"132","w","2002-05-21","searchengine",,"Student","2023-11-15 22:41:46"
"133","w","2002-02-26","friends",,"Student","2023-11-16 00:39:40"
"134","m","1972-01-12","searchengine",,"Student","2023-11-16 05:59:19"
"135","w","1996-05-30","searchengine",,"Student","2023-11-17 15:13:12"
"136","m","1999-08-21","friends",,"Student","2023-11-17 15:54:04"
"137","w","1996-01-15","others",,"Student","2023-11-17 21:43:21"
"138","w","1997-07-10","searchengine",,"Student","2023-11-18 11:45:01"
"139","w","1986-06-29","instagram",,"Student","2023-11-18 14:51:09"
"140","w","2000-01-01","instagram",,"Student","2023-11-18 21:19:17"
