split,group,metric,model_name,value,delta(XGB-ALS),better,als_diagnosis,xgb_diagnosis
TRAIN,OVERALL,precision@5,ALS Hybrid,0.0389,+0.0255,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,precision@5,XGBoost Hybrid,0.0644,+0.0255,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,recall@5,ALS Hybrid,0.0322,+0.0301,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,recall@5,XGBoost Hybrid,0.0623,+0.0301,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,ndcg@5,ALS Hybrid,0.0348,+0.0380,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,ndcg@5,XGBoost Hybrid,0.0728,+0.0380,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,mrr,ALS Hybrid,0.0542,+0.0710,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,mrr,XGBoost Hybrid,0.1252,+0.0710,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,coverage_pct,ALS Hybrid,49.12,-34.9600,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,coverage_pct,XGBoost Hybrid,14.16,-34.9600,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
