model,group,metric,train,test,gap(tr-te),model_name
ALS Hybrid,OVERALL,precision@5,0.0389,0.0113,+0.0276,ALS Hybrid
ALS Hybrid,OVERALL,recall@5,0.0322,0.0519,-0.0197,ALS Hybrid
ALS Hybrid,OVERALL,ndcg@5,0.0348,0.0295,+0.0053,ALS Hybrid
ALS Hybrid,OVERALL,mrr,0.0542,0.0226,+0.0316,ALS Hybrid
ALS Hybrid,OVERALL,coverage_pct,49.12,54.87,-5.7500,ALS Hybrid
ALS Hybrid,OVERALL,coverage_count,111.0,124.0,-13.0000,ALS Hybrid
ALS Hybrid,OVERALL,novelty,1.6699,1.5263,+0.1436,ALS Hybrid
ALS Hybrid,OVERALL,users_evaluated,72.0,106.0,-34.0000,ALS Hybrid
ALS Hybrid,REGISTERED,precision@5,0.0407,0.0055,+0.0352,ALS Hybrid
ALS Hybrid,REGISTERED,recall@5,0.0335,0.0205,+0.0130,ALS Hybrid
ALS Hybrid,REGISTERED,ndcg@5,0.0347,0.0085,+0.0262,ALS Hybrid
ALS Hybrid,REGISTERED,mrr,0.0492,0.0055,+0.0437,ALS Hybrid
ALS Hybrid,REGISTERED,coverage_pct,48.67,54.42,-5.7500,ALS Hybrid
ALS Hybrid,REGISTERED,coverage_count,110.0,123.0,-13.0000,ALS Hybrid
ALS Hybrid,REGISTERED,novelty,1.9969,2.1324,-0.1355,ALS Hybrid
ALS Hybrid,REGISTERED,users_evaluated,59.0,73.0,-14.0000,ALS Hybrid
ALS Hybrid,GUEST,precision@5,0.0308,0.0242,+0.0066,ALS Hybrid
ALS Hybrid,GUEST,recall@5,0.0262,0.1212,-0.0950,ALS Hybrid
ALS Hybrid,GUEST,ndcg@5,0.0354,0.0758,-0.0404,ALS Hybrid
ALS Hybrid,GUEST,mrr,0.0769,0.0606,+0.0163,ALS Hybrid
ALS Hybrid,GUEST,coverage_pct,2.21,2.21,+0.0000,ALS Hybrid
ALS Hybrid,GUEST,coverage_count,5.0,5.0,+0.0000,ALS Hybrid
ALS Hybrid,GUEST,novelty,0.1855,0.1855,+0.0000,ALS Hybrid
ALS Hybrid,GUEST,users_evaluated,13.0,33.0,-20.0000,ALS Hybrid
XGBoost Hybrid,OVERALL,precision@5,0.0644,0.0193,+0.0451,XGBoost Hybrid
XGBoost Hybrid,OVERALL,recall@5,0.0623,0.0864,-0.0241,XGBoost Hybrid
XGBoost Hybrid,OVERALL,ndcg@5,0.0728,0.0488,+0.0240,XGBoost Hybrid
XGBoost Hybrid,OVERALL,mrr,0.1252,0.0391,+0.0861,XGBoost Hybrid
XGBoost Hybrid,OVERALL,coverage_pct,14.16,58.85,-44.6900,XGBoost Hybrid
XGBoost Hybrid,OVERALL,coverage_count,32.0,133.0,-101.0000,XGBoost Hybrid
XGBoost Hybrid,OVERALL,novelty,0.522,2.6233,-2.1013,XGBoost Hybrid
XGBoost Hybrid,OVERALL,users_evaluated,90.0,145.0,-55.0000,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,precision@5,0.0701,0.0214,+0.0487,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,recall@5,0.0684,0.094,-0.0256,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,ndcg@5,0.0757,0.0558,+0.0199,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,mrr,0.1203,0.0466,+0.0737,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,coverage_pct,14.16,55.31,-41.1500,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,coverage_count,32.0,125.0,-93.0000,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,novelty,0.5766,2.3815,-1.8049,XGBoost Hybrid
XGBoost Hybrid,REGISTERED,users_evaluated,77.0,112.0,-35.0000,XGBoost Hybrid
XGBoost Hybrid,GUEST,precision@5,0.0308,0.0121,+0.0187,XGBoost Hybrid
XGBoost Hybrid,GUEST,recall@5,0.0262,0.0606,-0.0344,XGBoost Hybrid
XGBoost Hybrid,GUEST,ndcg@5,0.0561,0.0248,+0.0313,XGBoost Hybrid
XGBoost Hybrid,GUEST,mrr,0.1538,0.0136,+0.1402,XGBoost Hybrid
XGBoost Hybrid,GUEST,coverage_pct,2.21,34.51,-32.3000,XGBoost Hybrid
XGBoost Hybrid,GUEST,coverage_count,5.0,78.0,-73.0000,XGBoost Hybrid
XGBoost Hybrid,GUEST,novelty,0.1985,3.4441,-3.2456,XGBoost Hybrid
XGBoost Hybrid,GUEST,users_evaluated,13.0,33.0,-20.0000,XGBoost Hybrid
